Title_val,Funding_TotalPreviousYears_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_CostToComplete_val,Funding_TotalCost_val,Funding_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Other Service Funding Adjustment","60.773","105.477","61.799","24.068","24.068","4.995","257.112","","2018-BASE_RDTE-2018-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.xml","bd8b299d53fad5a78d4c474c6a913e4e20743b4a33557147406bffb518122bca","0-2b642cf155051002ea25c579984ccd40c6ba8872f8838b1307cc743473ab72f4","1-983b41bcfabfe05364c2672d7b79a976298a4fd970aa5d62920f9d2135b1d85b","root.record.ProjectList.Project"
"Other Service Program Funding Adjustment","28.560","63.494","246.161","440.347","440.347","0.000","778.562","","2018-BASE_RDTE-2018-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.xml","e80d134d1767b41d2b2548f02fd6d4a94639026c468ce601ff953b1c5ffa688f","0-016881150a115ed81dee0e7e2a0b5ca9c25b63a28dff9ffe4374fd8af10da570","0-13072a28758c4dc95de9f0d3a78be807659f58cf0c9858108d9cc98a37bccbc8","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","1007.102","272.128","127.103","127.103","","","","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","ecfeafb187d2faffe9373a3b80b11c9aba5e3b4d711cda3eff9b7a51f4211af7","0-5c861be3513cff86062805868580081295b116c793d992fe6bf0ef27f362a21f","0-c0d9e4eff64e5c4d82d47696157c053901693da029364ce7f5c6e5d2d355f5f2","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","78.900","24.068","4.957","4.957","","","","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","ecfeafb187d2faffe9373a3b80b11c9aba5e3b4d711cda3eff9b7a51f4211af7","0-558ea7df5603db0d6825f9d608aac615c12151d95bae114b3fe536bd1599915d","1-44ae15af9ef13c07262794ae1dd70a52559e593e11d370cf5665f99f064adb21","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","","","0.000","0.000","","","0.000","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","3b859819b6ee051d60469ae389e6b037e07c625fcdfb53251fcdbde16a302266","0-d4b9c64af6dabd4273b3e3bd0703caef6b5c0529ea4ac2152aec139045d7c3fe","0-94d44fba8950c06797870d68124719755cb68ec673d59a8de43cf50c7302fb88","root.record.ProjectList.Project"
"Other Service Funding Adjustment","107.938","119.740","438.981","669.834","669.834","","","","2019-BASE_RDTE-2019-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","60b21fa38b7006ef5f74d4c7e651900246627101ce994d397d96b2ee9bb5e570","0-127c86c02e2d080673eb55da00aa0a560fbbdc8c90d5690fc9339ee74311c7f6","0-c62a24d251c5f7c9c32504428d08df316c767277722dcf4030cb1444096eb336","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","1007.102","272.128","127.103","127.103","","","","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","2ac5b076fb8389cf250cba8aca590b9ac40681b3501a065133780ce047e0ae54","0-c2b0a2409002a9099ab0c78ed25380e373911547ec435234094fa0d2148e977b","0-8e5d7c4c37948622df400cf67cef6ac80c18310ef9f45f826474b9610c6e5655","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","78.900","24.068","4.957","4.957","","","","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","2ac5b076fb8389cf250cba8aca590b9ac40681b3501a065133780ce047e0ae54","0-fca45b601036c7e58d9e879ee1def5d7dafc593ba698918508ce0c395868b71f","1-047c835396171e3a78dcc9341b12cc784951eb8df377d5d6c7e2929a973d6cd8","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","","","0.000","0.000","","","0.000","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","d6f7560043fea3ee4d51aab970f30fe8c1087ae86275d2bff5ca40e2371ffdc6","0-d525d6724c2c552da8ba5a8958197689b98eaba437663183674c1d84c541a1e5","0-6452d37ddd8f441ae910bb9a50ff8bf1661cb450121760d5cf4cc2a9748c18cb","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","1007.102","272.128","127.103","127.103","","","","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","c26a6f2e7821d713a9bf224938973a81049c4faaf06ab22a03551ab1f28a7038","0-ea676f5ba3048852ada86e27475553fda2042ebd3777b0bcef420adf72f7bcb9","0-22bc95ceb182edb20c17ce9a2302d42723661fc1a8e1ac0da1fa681f4d4651af","root.record.ProjectList.Project"
