Name_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","2","1.786","2","1.786","6","5.299","9","7.462","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-68908cca3a071877924afdd3568364da8207482c590e859846cebe0874bcf8ae","0-454277a80590bab07e4fc505f2f8daafc6872d625f2cbeeb279e334c8473c74f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","7.41","4","7.41","8","14.995","6","10.361","1","2.709","7","12.515","7","13.044","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-ee10a184e99d1317b30303768d15786b081f48af05491baae8c2bb5e61546de1","0-c8cb219a15c1128aef9973f737b3941d863be376e73d60c955b161e425bdfb1c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","3.999","4","3.999","8","8.022","6","5.604","1","1.384","7","6.77","7","7.06","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-bbc70e9bd1c04a9073794145124d33723053d6b20cc69faec16c981a5bebacfa","0-013b33dfdfc390ce38ab307e53e754bfe80a4ade95dbfae712b8d3bf8b3b9a01","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","16","8.485","16","8.485","36","13.842","4","1.772","1","2.539","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-5b73a69b5750b216b823bab9147ef27d31936980bc88c7e1438aff32c7dbd581","0-173f9fa3aa9d2136d733703ef51a78a08d83f6437a2dc106478e97f9dff92da6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","10.353","4","10.353","8","20.675","6","14.876","1","3.214","7","17.985","7","18.742","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-81300ee7f680b43ae704790818ca24c6b6b9fde7e86e5addaa1630e0747ea853","0-374a7787f4c30c529f873f1e922b6710acc3294d03d9a1d46602b3f295d73af5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","11","212.996","11","212.996","6","154.352","","","7","137.523","","","","","5","118.144","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-704a924b71d4004dc63e9ee28f2ab3756be0e0409d451a8e25ea29cd8d872f52","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","5","129.163","11","232.737","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","1-e49c9c9d3e6d8bef3a0dfc7d180ae000e9d7c53a45176d77eaf95c2a1eb8929c","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","15","1.158","15","1.158","15","1.314","29","2.606","14","1.057","29","2.907","6","0.631","1","0.199","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-0bc1237a06239c41dbec8457d43fd96e1def261021b6fa025298d0c5f95fc334","0-cbd3e5544094aa4004648973c93322c198ad219952f453cb47108b6982463016","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","","","","","13","1.367","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-45583c87a6229fa0323521fc01d824f321f9f64379a5f1c98d0038c4de98a249","0-cbd3e5544094aa4004648973c93322c198ad219952f453cb47108b6982463016","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","","","","","","","","","8","0.842","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-c816e32b79ffb51c22c3530d2111a875c79dfc9927108bd450d49add323e7907","0-cbd3e5544094aa4004648973c93322c198ad219952f453cb47108b6982463016","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","180","95.94","180","95.94","92","45.448","42","28.35","16","6.288","","","","","112","47.246","444","166.815","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-3c400a5b570cb994f31eb1a3d50add4855f5edf6c25830e68b732087f4ee68a4","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","8","4.264","8","4.264","56","27.664","","","16","6.288","","","","","","","16","6.917","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-1dbff13915925eac1c1734546b93ef78855d461e1b4838b9c9490996142e5253","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","21","10.374","24","16.2","8","3.144","","","","","","","35","8.581","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-fc9dd170e86b6e16c038bc05db4b46e62d591028150064014c072fbd254a7d14","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","0.292","2","0.292","38","2.962","33","3.238","","","33","3.27","33","4","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-93fd7f87de15bd5af800f35f44b0fc31d97e0b2fd082129174de4e4a40e521b3","0-767dff231ea5c8784095c9e4efa52d2c25995162e1f3b0f34be815bb6b7fadbe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","2","5.6","2","5.211","2","4.656","2","5.298","4","10.712","2","5.134","6","16.071","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-0c25221cf919e1e5d1089f3d71d26b4bf1ffa73c1789739a1581c1da1debe91e","0-dfd763f25d9246447ab856a0834c848ee1c76df693e217e8dd048411b3bd39e8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","2","13.345","2","14.877","2","11.941","2","15.099","4","30.471","2","14.533","4","30.39","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-acf2a6e7e1e683f2e225eea4db0daeb31b09de20279793cb675b94b4bcbdaf24","0-059b8274213250edef2f402ff4a2a3177009c3dba78284a544e5e173401b68dc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","14","0.513","24","0.632","","","20","0.56","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","0-c1ef233880f40d082d09c51170d37687dfee156a7496767304a88341d2ddc444","0-65a673a5a5dd0cfe185879081df114cb9a04f8fa1ac6efff145e43ed07e00bd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","6","0.22","6","0.158","","","6","0.168","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","1-3a60678e66119b45bdf2c858e6dedeafb0bff76fecc2c0fdb38191b1733077d0","0-65a673a5a5dd0cfe185879081df114cb9a04f8fa1ac6efff145e43ed07e00bd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","0.000","12","0.000","8","0.000","6","0.000","13","0.000","","","","","12","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","66a2e813f9095cffeaf362a268485559e78bdf9106ddd06206eb478ca0f810f9","0-249091e70bdcb570a46fa103e499b89ed6c1d8bfaf5151fd27a51d5500f3f2a1","0-3dda79bf2ddc642cc7ec4b6adb00685ff79fe83cd4e44e81ba66b97149d9ba2e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","5.063","2","5.063","22","23.998","22","23.418","","","22","19.572","22","19.129","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b4a0a1f5bffbc93a1b835110e4fd293de1a2d0177a43de726dcfaa581bb20cdc","0-606dc543c8263dc7fc69936c8d612ae44c7cf99dc678082762e771eb4d77ff9d","0-eefd51f3294ac8a74ab70ffb476755cc2dbb752d8231df6d4228d4124475e303","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","22.238","2","45.638","1","29.337","1","32.541","","","1","12.74","1","26.404","","","","","1","23.4","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f9967fa42b57731954068ef520219961b9e7c3b2bb4bc4a87f98c5625c6ba5a0","0-20d4ecc8e53c19685a722657263d5a725a1dd552e5ab14315d427ffbfd18c9aa","0-1d919b827a974efa588ff00cf3ac107e0abf0fc4acbbe2bccb5e55c4c8001dab","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","3","1.545","3","1.545","32","16.48","22","11.33","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-50c36e970d93366266334e0c7b7c7bd9dfe797dce3adc3001943462f5c4ed271","0-fda861be768b15860a6ce61424f03a2498a84a70d3135774f9046a8fa07dfc8a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","14","3.784","29","6.858","","","15","3.1","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-47107bd9c327d39e9e9d1f792d4b14aa85a2434e26c953cb1173303fb56407f5","0-194322b05f7144b90f4c67bd9acd6090fd1997a91381cba157646b66ba04b116","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","cba0cd297e6be791ef2bcfeb4e56f5ff9e6fbc950d55bc245b5871e2429867bd","0-2f79ad077f3407e6dd1312416976b8639c4fc7e3a055e98b62160f965006966b","0-d51f6a5783aed9e2310bb89c2dcc33fccf3db9a40458cb076ee3e8d171c973aa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","1","5.35","","","","","","","1","4.35","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7bcb6f6d45c43542b7f5ac6d84e9b8c61a05304670b11bf2fb4cbee320d2f60f","0-13f4cca720760844d1fd6a7729290719ff5ef3b07b84e5616e845672608c908e","0-dbdccfc95d2af12b85ac478d710a914b61fd6c5b35d54719e9b8b3a1e299ddc3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","0","2.875","","","","","","","","","","","","","","","0","2.875","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-cca9e06b1b624e07c29512382f165530300151d1ce797de1135178e3be74e385","0-b1b3f4480729a3f0384e4b2f838d7908bdcc99ccb365fd3e585f8d02b4441c6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","8","4","8","8","1","0.509","2","1.03","","","2","1.05","2","1.07","","","","","0","4","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-66bad4e59eb159203c543263b9eb352c1bb8dd66e84e925d76740fde9175b744","0-aea9f4e88d26d130ac04e047b8f4ce8df8447d82ee0927e58be8397b367a9934","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","1","0.913","1","0.913","","","1","0.913","1","0.913","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-8a07b9b563fed24834d52aea4569d4400de50a61b8297e442d33b5aaf3ca3cf3","0-3d6bac344f42494acf5447a7e28b81c0270b9f4042398cd18b39d8476d7c5984","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","0","0.913","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","1-373249798aafd310f6155d14d9b589cd93570d2632610cf1ea112af265fe642b","0-3d6bac344f42494acf5447a7e28b81c0270b9f4042398cd18b39d8476d7c5984","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","0","2.6","","","1","1.5","","","","","1","1.8","","","","","0","2.6","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-cdad5bad2cd310bffbc9b8b6131bdacd17071aab0a6f287c46d0271202cb00c2","0-58192ef9ed952ea8fa595ed9a6ac6337e0ec8cdd0f043f4c230c53b045fc2eec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","0","3.24","","","","","","","","","","","","","","","0","3.24","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-4919f8b21475c191a4e2214c165a052e266b829cef41c4e64c90313f6c130006","0-bb435f0da11198cc8fce2043d326f4945709147fceb8db3953d3c134e281563a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","13","33.839","13","33.839","4","10.292","4","10.803","6","14.539","1","2.709","1","2.754","12","26.481","55","129.871","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-a32eaf83135661cc1c561d418bf458055de0cb68ec5e7e93fcced97f7ba5c62b","0-fba390c13d601ef34aafa005068846453fd30d01fa5bf90b0978594cb653eec0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","","","","","","","2","5.711","","","1","2.207","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-3678e64fcb5e3d9504fd474b61afa9ed10ed51622a9174a82d2a2a8d96483423","0-fba390c13d601ef34aafa005068846453fd30d01fa5bf90b0978594cb653eec0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","2","0.9","","","","","","","","","","","","","","","2","0.9","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-1091889cd520a2f3de254e6f9a3c8c16be2e5bbbb13b90a6c7a8e5b84b635303","0-1a5ad29df76567a1c61adb69d99132b807dba3e5412df2e36d213f999c41a370","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","1","0.5","","","","","","","","","","","","","","","1","0.5","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-107e4caaf2895f73ff1a7d6052112f0f3dcf81aa970012df9f537a561b7fe75d","0-1a5ad29df76567a1c61adb69d99132b807dba3e5412df2e36d213f999c41a370","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","0","0.75","","","","","","","","","","","","","","","0","0.75","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-cc03ddb49597f99bd683e59e3e68a6db91b3ad2012526ae9c17557b730d30f53","0-81e7e14fdcb6fab75b19c08177f4e983614254f3dbff94989f2ba8b2f1ff41e7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","110","1.122","110","1.122","25","0.26","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-81976d93750807671f12d644e59f51922c012e0c4938966fbd493f8e27bfa758","0-030ce269f54d9d38c72b2779b6481466d5ff7d92158e2db38723d820e23ca6d9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","90","0.918","90","0.918","22","0.229","30","0.436","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-e49194e662c61ce533f3504678eb3fa5e6fd1c560d452109d046ad6e67f0932d","0-030ce269f54d9d38c72b2779b6481466d5ff7d92158e2db38723d820e23ca6d9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","45","0.459","45","0.459","15","0.156","19","0.308","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","2-5cbd98bdd64d951ef111009335030d902b1e74586c0e7b6eef947511f3415822","0-030ce269f54d9d38c72b2779b6481466d5ff7d92158e2db38723d820e23ca6d9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","7","2.513","9","3.321","","","14","5.446","19","7.562","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2735bdb4da25959b8b4abecc00898757f40a9e86e5f583f7a85fe0b1e7420326","0-24bf891e71abe9828a960f730565c2606d5385f37c2ed297ca4c82229fe6bce8","0-126233114be02a588b34d1c36d6c3e92a1b3cbee5f952269f788e9ad1c95c671","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
