Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"LOAD, ASSEMBLE, PACK","","0.000","","","19","577939","10.981","55","97575","5.367","24.01","489963","11.764","24.01","50604","1.215","24.01","540567","12.979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-59b4bf5b4aeb44a8a6c8dfec41cde2bcd0847af62b1e4a18b4bb48cb7b0dfce1","0-66ecabd8990f18d4c8bdd4adca4dd6408c77c3208e9e6bec46ab955c10e5b7fd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK3-0","","0.000","","","193","116","0.022","209","19","0.004","212.12","99","0.021","222.22","9","0.002","212.96","108","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-782026d9c30abf0ed2c68a1263d2595ceb64cca7d2782a9e49fd877e16784d85","0-66ecabd8990f18d4c8bdd4adca4dd6408c77c3208e9e6bec46ab955c10e5b7fd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOX, METAL M548","","0.000","","","33","2370","0.078","38.13","396","0.015","39.17","2017","0.079","39.22","204","0.008","39.17","2221","0.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-f6b7483950756f4a1ff135779336cfd7d50cbe6459a1d31a64d70e857a8da413","0-66ecabd8990f18d4c8bdd4adca4dd6408c77c3208e9e6bec46ab955c10e5b7fd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","9.73","503186","4.896","14.14","327157","4.626","10.96","904197","9.91","","","0.000","10.96","904197","9.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-6c6cda4ce101b0cb2171ddbaa200c8a83cb5d1434560ec0936a313ab3500a4d3","0-53c06207778f633625012d9bf437703eb0f183051f00c486cdd4c6ec2dfc0b13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOX METAL M548","","0.000","","","33.14","2052","0.068","38.69","1344","0.052","39.17","3702","0.145","","","0.000","39.17","3702","0.145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-2bdfe51077f3974fb35756cb0fc959300152ef9084cd21a239bf35311dfef972","0-53c06207778f633625012d9bf437703eb0f183051f00c486cdd4c6ec2dfc0b13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK3-0","","0.000","","","196.08","102","0.02","212.12","66","0.014","213.11","183","0.039","","","0.000","213.11","183","0.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-a3795c48f0bb6259bbefd4428778be08214515f430847dbfd654de8a74ba5977","0-53c06207778f633625012d9bf437703eb0f183051f00c486cdd4c6ec2dfc0b13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK (LAP)","","0.000","","","51","931044","47.483","50.34","209479","10.545","51.39","72232","3.712","51.49","90425","4.656","51.45","162657","8.368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-24d4aad7733f0ce9834e3db7c10a3e69d22ef4e9160c01dc36453a9ceb303d46","0-abf789b281e1545d38b236c232655ba697fed9f2abc93e0b1b7adda3d716df3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TUBE AND STRAP ASSEMBLY F/30MM","","0.000","","","401.91","1677","0.674","405.84","377","0.153","453.85","130","0.059","407.41","162","0.066","428.08","292","0.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-baa58b8ca0a2aa90d10ded703ff5ea97697d4b1c93ae8ddb5cd2cd162c488037","0-abf789b281e1545d38b236c232655ba697fed9f2abc93e0b1b7adda3d716df3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER CNU-332","","0.000","","","1898.03","1677","3.183","2761.27","377","1.041","2761.54","130","0.359","2644.17","163","0.431","2696.25","293","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-db9f11bfb8a62948891ed4bc262b228f39b6702f1b6d3e838405869317b1652a","0-abf789b281e1545d38b236c232655ba697fed9f2abc93e0b1b7adda3d716df3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD,ASSEMBLE,PACK","","0.000","","","16","1988675","31.819","17.16","331355","5.686","31.5","162063","5.105","","","0.000","31.5","162063","5.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-2327fa00b4d58b65c18102a97e774726a2fe96b6e02c3479cc0f081bc98426a7","0-e76fc297e7f6896e269eb6a05c2b6b34cba54cc3475f7d1252611a1a8c3dc875","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TUBE AND STRAP ASSEMBLY","","0.000","","","386","3580","1.382","406.04","596","0.242","451.72","290","0.131","","","0.000","451.72","290","0.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-a478a75ac80b5f0eb86d54ef442589629cabe07c871a03724eaaf3fae792df2e","0-e76fc297e7f6896e269eb6a05c2b6b34cba54cc3475f7d1252611a1a8c3dc875","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER CNU-332E","","0.000","","","218","3580","0.78","182.89","596","0.109","242.32","293","0.071","","","0.000","242.32","293","0.071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-9f76b0a5dcef819edd583505be160ff6cc88c19298f04d3dc4afc69be803e1da","0-e76fc297e7f6896e269eb6a05c2b6b34cba54cc3475f7d1252611a1a8c3dc875","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK (LAP)","","0.000","","","","","0.000","6836.25","1719","11.752","6324.09","793","5.015","","","0.000","6324.09","793","5.015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","0-5151745025222c4dc6cee540e77531f1614dc749efaae8a99ec91c01835ea456","0-3a431c8b957157dcf08ed3d70d6051332593ceedc0cbd611c4d80eeeeabe3a04","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LUG SUSP ACFT ORD MK3-0","","0.000","","","","","0.000","60.35","4685","0.283","61.84","1601","0.099","","","0.000","61.84","1601","0.099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","1-86e4a789c44b8fd7f63e4ce88edf9a8290509dc41b6217f4af208ed49376e864","0-3a431c8b957157dcf08ed3d70d6051332593ceedc0cbd611c4d80eeeeabe3a04","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK79-1","","0.000","","","","","0.000","786","1171","0.92","862.5","400","0.345","","","0.000","862.5","400","0.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","2-437970f922d7f577ce39a8af7ecb4fd938e16d19259d7ff1d267a08301f7c4bd","0-3a431c8b957157dcf08ed3d70d6051332593ceedc0cbd611c4d80eeeeabe3a04","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK (LAP)","","0.000","","","2125.54","3672","7.805","2161.64","3081","6.66","2194.11","4513","9.902","","","0.000","2194.11","4513","9.902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","0-a6b9fb6a508acb73431d201ad66a4da0fe41d4b06bdfa1e144bc66efaba7e6e0","0-dac89e6214d00d5aae80a9819377f5aedba66ba7d88afeb6bee22bd9c922714d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET INSPECTION, MHU-149/E","","0.000","","","136.44","623","0.085","145.87","521","0.076","164.06","768","0.126","","","0.000","164.06","768","0.126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","1-0d7055253315fe92795acc898c3c283d3a2e65bdad637bfa18aec8ef0567f9bb","0-dac89e6214d00d5aae80a9819377f5aedba66ba7d88afeb6bee22bd9c922714d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LUG SUSP ACFT ORD MS3314","","0.000","","","23","7435","0.171","23.6","6229","0.147","24","9125","0.219","","","0.000","24","9125","0.219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","2-57ffd0878fcf9dc5f92d42a679e37c90bac300476b56c93ed5620f1d89beb575","0-dac89e6214d00d5aae80a9819377f5aedba66ba7d88afeb6bee22bd9c922714d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MHU-149/E","","0.000","","","","","0.000","155.89","526","0.082","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","3-293fe209946e92193fb560705524743e16134abcdb0565869197b963786709fb","0-dac89e6214d00d5aae80a9819377f5aedba66ba7d88afeb6bee22bd9c922714d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","3129.03","279","0.873","3548.58","319","1.132","4000","428","1.712","","","0.000","4000","428","1.712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","0-98ee1ac029399a2cabf4b7a9fd7388802ac1de2cf96dabad1c849d5b0259f0a9","0-33c80d21bf3bebc3e42dc4c4a574ffd0b7141a82192c3c065ab2eb3ce9d9530f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIPT BOMB BLU-109(D-1)B","","0.000","","","18.12","276","0.005","19.63","325","0.006","20.98","429","0.009","","","0.000","20.98","429","0.009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","1-faf9784b273042a211ab07d8c5fd27e5c4ef60abff875ac62ecd4e0c093d0721","0-33c80d21bf3bebc3e42dc4c4a574ffd0b7141a82192c3c065ab2eb3ce9d9530f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOMB BODY 2000LB BLU-109(D-1)/B","","0.000","","","18440.86","279","5.145","18759.82","325","6.097","19042.06","428","8.15","","","0.000","19042.06","428","8.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","2-15599ad00776951cdd64f6c859ed2538d65becd1e97bab146955b78e55d75212","0-33c80d21bf3bebc3e42dc4c4a574ffd0b7141a82192c3c065ab2eb3ce9d9530f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER SHIP/STORE CNU 417/E","","0.000","","","2428.57","140","0.34","2478.14","161","0.399","2513.89","216","0.543","","","0.000","2513.89","216","0.543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9e9950fa1927823d169ad43c0b71481c48d0e1dd7c4ee27fc0fbe085e0bf5c23","3-f0744623e6663497f44b217af290f72c0af18c56ffa2f10eebfa46b7c7d69e4d","0-33c80d21bf3bebc3e42dc4c4a574ffd0b7141a82192c3c065ab2eb3ce9d9530f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","8332.84","2118","17.649","6401.28","780","4.993","9567.79","1930","18.466","9567.79","17","0.163","9568.05","1947","18.629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","0-afc7e451f9babfcb327fb20a0a76095d57f4c38b23162fda0452684a29cd8cc7","0-deb0c707d1dd7b9ea0cc9dca1442513cf2f856961c06d811558836e80c81fb5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOMB BODY, 2000LB BLU-109/B","","0.000","","","18452.16","2129","39.285","18765.99","1235","23.176","20811.37","1939","40.353","20811.37","17","0.354","20811.35","1956","40.707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","1-6f3666ddcb3192b51e01d336ee2b222ee9babdaeb7a0844f67a29edb22049d4c","0-deb0c707d1dd7b9ea0cc9dca1442513cf2f856961c06d811558836e80c81fb5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER, CNU-417/E","","0.000","","","2482.73","1069","2.654","2482.3","452","1.122","2744.3","973","2.67","2744.3","9","0.025","2744.4","982","2.695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","2-990180bddde8bf4f93527c276497536c0bfee133600406761da75182e2181252","0-deb0c707d1dd7b9ea0cc9dca1442513cf2f856961c06d811558836e80c81fb5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CXM-AF-5","","0.000","","","18.34","360036","6.603","22.31","621005","13.854","18.74","328100","6.149","18.74","2890","0.054","18.74","330990","6.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","3-0114c4a6b6aab962ce88a6992f94d93789dac514f843b8ec4ade846bfa1c45b8","0-deb0c707d1dd7b9ea0cc9dca1442513cf2f856961c06d811558836e80c81fb5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIPT OF GFM MATERIAL FOR 2000LB BOMB","","0.000","","","19.48","2113","0.041","19.65","967","0.019","19.96","1939","0.039","19.96","17","0.000","19.94","1956","0.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","4-6fbb8908f1862e7de282685fd093014009f14c3d1c1d8cbb23e8f8950c97bc9f","0-deb0c707d1dd7b9ea0cc9dca1442513cf2f856961c06d811558836e80c81fb5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","2589.96","270","0.699","","","0.000","2847.17","200","0.569","","","0.000","2845","200","0.569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","0-2e9b407a3ff8850f51ae8908fd9ec8a790815b91aa9c0208485ef161b0b5162c","0-6ea623b2b08341d516184076f240dc39bae72ed76dce92ee885ddda1cb421cb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIPT OF GFM","","0.000","","","19.78","275","0.005","","","0.000","21.01","204","0.004","","","0.000","19.61","204","0.004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","1-ccb644ee8a55cb5c4a90c783312df85ad8a344b40570be8c31482843c3adb3ca","0-6ea623b2b08341d516184076f240dc39bae72ed76dce92ee885ddda1cb421cb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOMB BODY BLU-110B/B","","0.000","","","3242.56","275","0.892","","","0.000","3315.87","204","0.676","","","0.000","3313.73","204","0.676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","2-ad3504dd05e6472f064538da9f086fbfb4bd34559ffa2a6118f35922b8ec1275","0-6ea623b2b08341d516184076f240dc39bae72ed76dce92ee885ddda1cb421cb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LUG SUSPENSION MS3314","","0.000","","","23.22","545","0.013","","","0.000","23.96","404","0.01","","","0.000","24.75","404","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","3-a30cf9ba08607bbdba694890dc69a57b334de8c37e94af51239bcd0476ed278c","0-6ea623b2b08341d516184076f240dc39bae72ed76dce92ee885ddda1cb421cb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MHU-187","","0.000","","","704","92","0.065","","","0.000","803.12","68","0.055","","","0.000","808.82","68","0.055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","4-5bb346502761dceaae430ffd2c82b4d52de9acc4d8d1521c92c689676ebf9623","0-6ea623b2b08341d516184076f240dc39bae72ed76dce92ee885ddda1cb421cb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CXM-7 (LB)","","0.000","","","12.78","73170","0.935","","","0.000","18.71","54200","1.014","","","0.000","18.71","54200","1.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","5-dba82f1bfda2c7c87c6b5807fd4294708f9633921ecfc0710c6e26f8a93f45ca","0-6ea623b2b08341d516184076f240dc39bae72ed76dce92ee885ddda1cb421cb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
